year	age	sex	meth	tv	state
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	1	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	1	0	XX
2003	14	M	0	0	XX
2003	14	M	1	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	1	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	1	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	1	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	1	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	1	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	1	1	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	1	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	1	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	1	0	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	1	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	1	1	XX
2003	14	M	1	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	1	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	1	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	1	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	1	0	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	0	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	0	1	XX
2003	14	M	1	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	1	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	1	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	1	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	1	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	1	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	1	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	1	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	1	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	1	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	1	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	1	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	1	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	1	1	XX
2003	15	M	1	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	1	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	1	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	1	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	1	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	1	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	1	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	1	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	1	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	1	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	0	XX
2003	15	M	0	0	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
2003	15	M	0	1	XX
